date,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2017-04-13,-0.735483,0.4737506619203734,-0.529,138.3199,139.6242,"Apr 13, 17",138.3199,139.1633,17822880,17822880,139.0485
2017-04-17,0.764903,0.4819004066881394,0.553,139.0848,139.1338,"Apr 17, 17",138.1434,138.7416,16582094,16582094,138.6738
2017-04-18,-0.617806,0.47531796150899747,-0.444,138.467,139.2908,"Apr 18, 17",138.3787,138.6729,14697544,14697544,138.7304
2017-04-19,-0.509935,0.4698851534856167,-0.368,137.9571,139.2515,"Apr 19, 17",137.7315,139.1338,17328375,17328375,138.4766
2017-04-20,1.7259,0.4882740206508501,1.251,139.683,140.1537,"Apr 20, 17",138.4278,138.4866,23319562,23319562,139.5394
2017-04-21,-0.166708,0.48649788984579523,-0.119,139.5163,139.9184,"Apr 21, 17",139.1044,139.683,17320928,17320928,139.506
2017-04-24,1.3435,0.5008124173598408,0.963,140.8598,141.1638,"Apr 24, 17",140.4087,140.7225,17134333,17134333,140.8864
2017-04-25,0.872775,0.5101117992833679,0.62,141.7326,142.0954,"Apr 25, 17",141.0853,141.1246,18871501,18871501,141.708
2017-04-26,-0.833547,0.5012300797927031,-0.588,140.899,141.8012,"Apr 26, 17",140.6011,141.6737,20041241,20041241,141.2493
2017-04-27,0.107869,0.5023797169484645,0.077,141.0069,141.3697,"Apr 27, 17",140.5362,141.1368,14246347,14246347,140.8971
2017-04-28,-0.137289,0.5009168329680562,-0.097,140.8696,141.507,"Apr 28, 17",140.4969,141.3011,20860358,20860358,140.9454
2017-05-01,2.8733,0.5315308500176333,2.04,143.7429,144.3509,"May 1, 17",142.1542,142.2915,33602943,33602943,143.4395
2017-05-02,0.911999,0.5412478943740231,0.634,144.6549,145.2236,"May 2, 17",143.9978,144.6843,45352194,45352194,144.5974
2017-05-03,-0.44129,0.5365459956081519,-0.305,144.2136,144.6353,"May 3, 17",141.4776,142.772,45697034,45697034,143.3695
2017-05-04,-0.519741,0.5310077065111657,-0.36,143.6938,144.292,"May 4, 17",142.9878,143.684,23371872,23371872,143.499
2017-05-05,2.383,0.5563977467537933,1.658,146.0768,146.0964,"May 5, 17",143.9194,143.9194,27327725,27327725,145.3517
2017-05-08,3.9716,0.5987137701812462,2.719,150.0484,150.7251,"May 8, 17",146.1455,146.1455,48752413,48752413,149.0494
2017-05-09,0.96103,0.6089539580441039,0.64,151.0095,151.8822,"May 9, 17",150.4799,150.8918,39130363,39130363,151.1355
2017-05-10,-0.715871,0.601326291317416,-0.474,150.2936,150.9604,"May 10, 17",149.1658,150.6564,25805692,25805692,150.1154
2017-05-11,1.2998,0.6151752104560512,0.865,151.5934,151.7116,"May 11, 17",149.9785,150.1164,27255058,27255058,150.8456
2017-05-12,2.1171,0.6377321782267885,1.397,153.7105,154.0256,"May 12, 17",152.3024,152.3319,32527017,32527017,153.4591
2017-05-15,-0.393877,0.6335353100557558,-0.256,153.3166,154.2521,"May 15, 17",152.6766,153.6219,26009719,26009719,153.2072
2017-05-16,-0.22648,0.6311230964128978,-0.148,153.0902,153.6711,"May 16, 17",152.3516,153.553,20048478,20048478,152.9304
2017-05-17,-5.1401,0.5763571099038204,-3.358,147.9501,152.2039,"May 17, 17",147.4183,151.2488,50767678,50767678,149.1962
2017-05-18,2.2549,0.600382288981916,1.524,150.205,150.9928,"May 18, 17",148.8166,148.9545,33568215,33568215,150.1242
2017-05-19,0.51204,0.6058385372438754,0.341,150.7171,151.623,"May 19, 17",150.2936,151.0322,26960788,26960788,150.9721
2017-05-22,0.915764,0.6155950038196935,0.608,151.6328,152.2138,"May 22, 17",150.5693,151.6427,22966437,22966437,151.4082
2017-05-23,-0.187092,0.6136015180750874,-0.123,151.4457,152.5289,"May 23, 17",150.9632,152.5289,19918871,19918871,151.4769
2017-05-24,-0.452958,0.6087760253239813,-0.299,150.9928,151.8101,"May 24, 17",150.333,151.4851,19219154,19219154,150.9109
2017-05-25,0.521887,0.6143366891941566,0.346,151.5147,151.9873,"May 25, 17",150.6875,151.3768,19235598,19235598,151.4404
2017-05-26,-0.256021,0.6116080323304818,-0.169,151.2586,151.879,"May 26, 17",150.9632,151.6427,21927637,21927637,151.3269
2017-05-30,0.059082,0.6122377223759452,0.039,151.3177,152.0661,"May 30, 17",150.9829,151.0715,20126851,20126851,151.4932
2017-05-31,-0.89607,0.6026900870165586,-0.592,150.4216,151.8101,"May 31, 17",150.0475,151.6131,24451164,24451164,150.5901
2017-06-01,0.413571,0.6070968518694122,0.275,150.8352,150.9829,"Jun 1, 17",149.8899,150.8254,16404088,16404088,150.5437
